,t,GFP,RFP
1,1.5,2.9727765432895397,16.39315449796249
2,2.5,21.20611959085424,5.32527066313367
3,3.5,-13.476302455775247,35.760323858839904
4,4.5,1.8926490909641107,-60.55785427231164
5,5.5,4.162786621928537,2.079668220697701
6,6.5,3.114636423622191,6.545481839872441
7,7.5,1.061398563385257,1.001550911633775
8,9.0,1.8290455645800399,1.977368175262583
9,11.0,6.6421674297881745,1.9247251366516762
10,13.0,-36.75019268690863,4.13755473720912
11,15.0,-15.951820721086843,-11.037916103839427
12,17.0,54.72405623314339,3.9921044771292746
13,19.0,20.027077082644457,4.898448002674174
14,24.5,-10.326368361011713,-29.284263378908136
