t,GFP,RFP
1,1.0,1.0
2,1.113054539672444,1.2918238993710691
3,1.1941485132771508,1.7689308176100629
4,1.2084592145015107,2.321132075471698
5,1.5052737584141624,2.308176100628931
6,2.505962792176817,4.522264150943396
7,3.8405681878412046,6.0737106918239
8,7.416123390046113,10.75069182389937
10,13.823077330789209,18.820377358490568
12,21.72152435469338,27.31320754716981
14,26.704828536598292,37.55446540880503
16,32.856309959188,34.42415094339623
18,35.17464355753432,39.58943396226415
20,39.14665818625113,46.50188679245283
29,28.10197699687285,33.227169811320756
