t,GFP,RFP
1,1.0,1.0
2,1.5332605744403334,0.6134453781512605
3,1.4408922724731812,0.8346638655462185
4,1.666356110416057,0.5930672268907563
5,4.1765379189182,0.9684873949579832
6,9.033992599888201,1.1411764705882355
7,12.45401549232039,1.7554621848739496
8,18.11749673915937,1.8021008403361343
10,42.606542976548575,2.607563025210084
12,71.52607341549765,3.365546218487395
14,77.76612452418347,4.058403361344538
16,82.08534085766765,3.828151260504202
18,81.62589506747945,3.5957983193277308
20,99.23816115207498,6.5021008403361344
29,97.29549870897331,5.0096638655462185
