t,GFP,RFP
1,1.0,1.0
2,1.3070213806056554,1.053941908713693
3,1.274345846090514,0.9881742738589212
4,1.2478452157357143,1.1230290456431535
5,1.7932950832325625,1.3858921161825726
6,2.230169552576736,1.9257261410788382
7,2.757094707592559,2.270954356846473
8,6.268042298093499,4.85643153526971
10,13.77775490776237,12.68713692946058
12,22.610955309131143,27.190871369294605
14,22.77613399542028,40.91659751037344
16,24.74592842256928,41.39253112033195
18,19.691254791982917,50.285477178423236
20,18.001903928782774,64.99377593360995
29,44.91213625955181,49.51199547340626
